Operational Recommendation,Temperature Recommendation,Humidity Recommendation,Battery Recommendation,Shipment Recommendation,Financial Recommendation,Quality Recommendation,Manager Recommendation,Priority Action,Recommendation Severity,Recommendation Category,Immediate Action Required,Recommendation Status,Escalation Level,Final Recommendation,Shipment ID,Container ID,Timestamp,Date,Time,Product Category,Product Name,Vehicle Type,Origin City,Destination City,Transport Mode,Latitude,Longitude,Temperature,Humidity,Battery,Shock,Vibration,Delay Hours,Sensor Status,Weather,Driver ID,Route ID,Trip Distance,Trip Duration,Fuel Consumption,Temperature Deviation,Temperature Excursion Flag,Temperature Band,Humidity Deviation,Humidity Excursion Flag,Humidity Band,Battery Health Score,Battery Status,Battery Low Flag,Shock Severity,High Shock Flag,Delay Category,Delay Flag,Journey Duration Category,Average Speed,Fuel Efficiency,Trip Efficiency,Distance Category,Vibration Severity,High Vibration Flag,Operational Status,Sensor Health Score,Weather Impact Indicator,Temperature Excursion Duration Risk,Cold Chain Compliance Flag,Spoilage Probability Indicator,Risk Indicator,Risk Category,Operational Risk Indicator,Temperature Risk Score,Humidity Risk Score,Battery Risk Score,Shock Risk Score,Vibration Risk Score,Delay Risk Score,Overall Risk Index,Risk Score,Risk Priority,Risk Level,Risk Description,Spoilage Risk,Quality Risk,Logistics Risk,Operational Risk,Financial Risk Indicator,Spoilage Risk Indicator,Estimated Quantity,Product Unit Value,Inventory Value,Spoilage Percentage,Spoiled Quantity,Estimated Loss,Financial Loss,Estimated Loss Percentage,Insurance Eligible,Insurance Claim Amount,Recovery Eligible,Recovery Amount,Net Financial Loss,Loss Category,Loss Severity,Business Impact,Profit Impact,Cost Impact,Recovery Status,Insurance Status
Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Replace or recharge the sensor battery immediately.,medium,Battery Low,False,Open,L1,Replace or recharge the sensor battery immediately.; Verify the sensor reconnects successfully.; Monitor the shipment until battery health is restored.,SHP-A0BD9260CC27,CTR-9939F5DDEB,2026-06-06 06:43:06,2026-06-06,06:43:06,Medicines,Insulin,Mini Reefer Truck,Indore,Coimbatore,Rail,16.717548,76.914329,3.21,50.21,4.32,47.57,7.33,3.41,Active,Rain,DRV-8028AD73,RTE-1C8CC038,1591.72,72.44,191.07,3.21,0,Safe,0.2100000000000008,0,Safe,9.094736841626592,Critical,1,0,0,Safe,0,Long,21.972943125041787,8.33055948077495,High,Medium,1,0,Battery Degraded,9.094736841626592,1,0.0,1,0.8331683921471564,83.32,Medium Risk,1,54.54,1.04,90.91,0.0,50.0,12.63,34.37,34.37,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Low Risk,High Risk,0.1,0.06,680.152,600.0,408091.2,0.06,40.80912,40.80912,40809.12,0.1,False,0.0,True,40809.1199999999,1.0186340659856795e-10,Low,low,Low,Major,High,Eligible,Not Eligible
Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Inspect humidity control systems.; Check packaging for moisture damage.; Perform a quality inspection before shipment release.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Prioritize shipment dispatch immediately.,medium,Shipment Delay,False,Open,L1,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,SHP-A53A5F981136,CTR-D1B6711C58,2026-06-03 08:29:06,2026-06-03,08:29:06,Dairy Products,Cheese,Refrigerated Truck,Kochi,Chandigarh,Road,20.084302,76.991602,3.0,71.46,58.92,113.79,0.629,31.41,Warning,Cold Wave,DRV-365BD70A,RTE-36B89344,173.42,35.02,47.53,3.0,0,Safe,21.46,1,Warning,31.533333332807786,Healthy,0,1,0,Critical,1,Medium,4.952027412765505,3.64864296226281,Low,Short,0,0,Active,31.533333332807786,0,0.0,0,0.9808395754612004,98.08,High Risk,2,50.97,100.0,68.47,33.33,0.0,100.0,63.01,63.01,P2,High,Significant deviation from target conditions; prioritize quality checks and interventions.,High Risk,High Risk,High Risk,Medium Risk,0.22,0.14,90.38,350.0,31633.0,0.14,12.6532,12.6532,6959.26,0.22,True,6959.25999999978,True,6959.25999999978,0.0,Low,low,Medium,Minor,Low,Eligible,Eligible
Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Inspect humidity control systems.; Check packaging for moisture damage.; Perform a quality inspection before shipment release.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.,medium,Shipment Delay,False,Open,L1,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,SHP-CB90CB7F7B46,CTR-A5978545D9,2026-06-29 22:19:06,2026-06-29,22:19:06,Dairy Products,Paneer,Insulated Container,Surat,Visakhapatnam,Road,20.047975,77.235356,-0.61,20.0,84.56,85.37,17.2,5.87,Critical,Clear,DRV-5C4C98B7,RTE-7BABDC39,670.26,33.35,124.48,0.61,0,Safe,30.0,1,Critical,74.26666666542889,Healthy,0,1,0,Warning,1,Medium,20.097751123835152,5.384479434404045,Medium,Short,2,1,Vibration Alert,59.266666665428886,0,0.0,0,0.931255459464302,93.13,Medium Risk,3,10.36,100.0,25.73,33.33,100.0,36.74,46.96,46.96,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,High Risk,Medium Risk,0.1,0.06,288.114,180.0,51860.52,0.06,17.286839999999998,17.286839999999998,5186.052,0.1,False,0.0,True,5186.0519999999,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.,low,Normal,False,Open,L1,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,SHP-4E16436669A5,CTR-E6C5DADC9D,2026-06-27 04:28:06,2026-06-27,04:28:06,Ice Cream,Ice Cream,Insulated Container,Bengaluru,Lucknow,Rail,20.520405,79.174238,0.87,52.49,85.78,68.65,7.759,2.4,Active,Storm,DRV-980DEC08,RTE-CF96EE25,995.4,56.12,184.33,0.87,0,Safe,2.490000000000002,0,Safe,76.29999999872834,Healthy,0,0,0,Safe,0,Long,17.736992159341824,5.400097650922801,Medium,Short,1,0,Active,76.29999999872834,0,0.0,1,0.6221912787386387,62.22,Low Risk,0,14.78,12.3,23.7,0.0,50.0,8.89,16.04,16.04,P4,Low,Conditions are generally within acceptable cold-chain boundaries.,Low Risk,Low Risk,Low Risk,Low Risk,0.03,0.02,431.832,140.0,60456.48,0.02,8.63664,8.63664,1813.6944,0.03,False,0.0,False,0.0,1813.6944,Low,low,Low,Major,Low,Not Eligible,Not Eligible
Inspect refrigeration equipment immediately.; Move products to a safe temperature-controlled environment.; Record the temperature excursion for compliance.,Inspect refrigeration equipment immediately.; Move products to a safe temperature-controlled environment.; Record the temperature excursion for compliance.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Inspect refrigeration equipment immediately.,high,Temperature Issue,True,Open,L2,Inspect refrigeration equipment immediately.; Move products to a safe temperature-controlled environment.; Record the temperature excursion for compliance.,SHP-3CF9CF6F1308,CTR-5DB011A8AD,2026-05-28 08:46:06,2026-05-28,08:46:06,Fresh Vegetables,Carrot,Mini Reefer Truck,Ahmedabad,Pune,Road,20.339435,73.237316,-5.78,58.57,58.6,27.28,5.315,2.91,Warning,Heatwave,DRV-A67281BE,RTE-A476D589,821.86,26.89,121.38,5.78,1,Warning,8.57,0,Safe,30.999999999483336,Healthy,0,0,0,Safe,0,Short,30.56377835512965,6.770967210357794,High,Short,1,0,Active,30.999999999483336,1,33.33333333333333,0,0.8837502603417027,88.38,High Risk,1,100.0,42.32,69.0,0.0,50.0,10.78,50.43,50.43,P2,High,Significant deviation from target conditions; prioritize quality checks and interventions.,Critical Risk,High Risk,Low Risk,Medium Risk,0.22,0.14,344.87800000000004,14.0,4828.292,0.14,48.28292000000001,48.28292000000001,1062.22424,0.22,True,1062.22423999978,True,1062.22423999978,0.0,Low,low,Medium,Minor,Low,Eligible,Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-A1AE19960436,CTR-BE86EAB041,2026-07-08 22:40:06,2026-07-08,22:40:06,Medicines,Paracetamol Syrup,Cold Storage Container,Surat,Chennai,Sea,16.775745,75.991285,-2.78,48.9,81.13,174.37,7.505,3.98,Active,Storm,DRV-A68C2824,RTE-ECBF11F8,2156.95,77.15,485.37,2.78,0,Safe,1.1000000000000014,0,Safe,68.54999999885749,Healthy,0,1,0,Safe,0,Long,27.95787427053845,4.443929373458508,Low,Long,1,0,Active,68.54999999885749,0,33.33333333333333,1,0.7290177147680462,72.9,Medium Risk,0,47.23,5.43,31.45,33.33,50.0,14.74,29.82,29.82,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Medium Risk,Medium Risk,0.1,0.06,909.07,90.0,81816.29999999999,0.06,54.5442,54.5442,8181.629999999999,0.1,False,0.0,True,8181.629999999898,1.0095391189679503e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-6475B3637325,CTR-FA12C96F14,2026-05-31 23:24:06,2026-05-31,23:24:06,Fresh Vegetables,Tomato,Reefer Trailer,Asansol,Bengaluru,Air,17.780072,82.453032,-1.06,63.8,69.0,45.31,3.457,2.05,Active,Clear,DRV-D53F1C77,RTE-E0855C8E,1204.07,1.0,227.8,1.06,0,Safe,13.799999999999995,0,Safe,48.33333333252778,Healthy,0,0,0,Safe,0,Short,1204.06999879593,5.285645302874075,Medium,Medium,0,0,Active,48.33333333252778,0,33.33333333333333,1,0.7525799745635933,75.26,Medium Risk,0,18.01,68.14,51.67,0.0,0.0,7.59,27.02,27.02,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Low Risk,Medium Risk,0.1,0.06,482.228,22.0,10609.016,0.06,28.93368,28.93368,1060.9016,0.1,False,0.0,True,1060.9015999999,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-546B6FFFB870,CTR-7E52535F2A,2026-07-07 06:35:06,2026-07-07,06:35:06,Fresh Vegetables,Tomato,Insulated Container,Kolkata,Noida,Sea,26.061178,83.135225,-2.57,44.94,73.91,268.63,6.11,2.36,Active,Heatwave,DRV-2B9CE761,RTE-F1B5B306,2698.19,65.58,473.38,2.57,0,Safe,5.060000000000002,0,Safe,56.51666666572473,Healthy,0,3,1,Safe,0,Long,41.14348886793011,5.69983945243631,Medium,Long,1,0,Shock Alert,36.51666666572473,1,0.0,1,0.8504729869112629,85.05,Medium Risk,1,43.66,24.99,43.48,100.0,50.0,8.74,43.75,43.75,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,Medium Risk,Medium Risk,Low Risk,High Risk,0.1,0.06,1118.624,22.0,24609.728,0.06,67.11744,67.11744,2460.9728,0.1,False,0.0,True,2460.9727999999,1.0004441719502208e-10,Low,low,Low,Minor,Low,Eligible,Not Eligible
Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.,low,Normal,False,Open,L1,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,SHP-BF30BBB13D90,CTR-875DB91CEE,2026-05-20 10:08:06,2026-05-20,10:08:06,Fresh Vegetables,Lettuce,Refrigerated Truck,Delhi,Ahmedabad,Rail,25.681582,74.61856,1.71,49.14,75.29,6.72,6.845,3.59,Active,Fog,DRV-DBEFDB94,RTE-5338672A,1065.66,44.02,213.19,1.71,0,Safe,0.8599999999999994,0,Safe,58.8166666656864,Healthy,0,0,0,Safe,0,Medium,24.20854157146277,4.998639711032419,Low,Short,1,0,Active,58.8166666656864,0,0.0,1,0.6669562619810055,66.7,Low Risk,0,29.05,4.25,41.18,0.0,50.0,13.29,21.28,21.28,P4,Low,Conditions are generally within acceptable cold-chain boundaries.,Low Risk,Low Risk,Low Risk,Medium Risk,0.03,0.02,452.676,26.0,11769.576,0.02,9.05352,9.05352,353.08728,0.03,False,0.0,False,0.0,353.08728,Low,low,Low,Major,Low,Not Eligible,Not Eligible
Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Inspect refrigeration equipment immediately.; Move products to a safe temperature-controlled environment.; Record the temperature excursion for compliance.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Prioritize shipment dispatch immediately.,medium,Shipment Delay,False,Open,L1,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,SHP-DDE66A60B2CA,CTR-FB1FEBBDEC,2026-07-06 18:59:06,2026-07-06,18:59:06,Frozen Foods,Frozen Meat,Refrigerated Truck,Varanasi,Chandigarh,Sea,27.406792,80.157017,4.79,38.33,81.44,98.7,12.264,29.25,Warning,Cloudy,DRV-0FA5C52E,RTE-C6CA7725,2337.02,89.73,467.88,4.79,0,Safe,11.670000000000002,0,Safe,69.06666666551556,Healthy,0,1,0,Critical,1,Long,26.04502396048094,4.99491322560273,Low,Long,2,1,Vibration Alert,54.06666666551556,0,0.0,1,0.9853571724729876,98.54,High Risk,2,81.38,57.62,30.93,33.33,100.0,100.0,66.51,66.51,P2,High,Significant deviation from target conditions; prioritize quality checks and interventions.,High Risk,High Risk,Critical Risk,Medium Risk,0.22,0.14,988.646,280.0,276820.88,0.14,138.41044,138.41044,60900.5936,0.22,True,60900.59359999979,True,60900.59359999979,0.0,Low,low,Medium,Minor,High,Eligible,Eligible
Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Inspect humidity control systems.; Check packaging for moisture damage.; Perform a quality inspection before shipment release.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Increase monitoring frequency temporarily.,medium,Warning,False,Open,L1,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,SHP-F21A953EC233,CTR-F342FCAB96,2026-07-06 04:42:06,2026-07-06,04:42:06,Vaccines,COVID-19 Vaccine,Reefer Trailer,Varanasi,Delhi,Rail,26.932184,80.236715,-2.82,33.12,70.95,241.02,4.676,2.47,Active,Heatwave,DRV-7A746241,RTE-43F29CE0,1244.98,32.82,261.56,2.82,0,Safe,16.880000000000003,0,Safe,51.58333333247362,Healthy,0,2,0,Safe,0,Medium,37.93357708598619,4.759825661397921,Low,Medium,0,0,Active,51.58333333247362,1,0.0,1,0.84859173966683,84.86,Medium Risk,0,47.91,83.35,48.42,66.67,0.0,9.15,47.28,47.28,P3,Medium,Minor excursions or handling issues detected; increased monitoring recommended.,High Risk,High Risk,Low Risk,Medium Risk,0.1,0.06,517.684,1200.0,621220.7999999999,0.06,31.06104,31.06104,62122.08,0.1,False,0.0,True,62122.07999999989,1.0186340659856795e-10,Low,low,Low,Major,High,Eligible,Not Eligible
Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Inspect humidity control systems.; Check packaging for moisture damage.; Perform a quality inspection before shipment release.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Initiate immediate quarantine of the affected shipment.; Notify the quality assurance and supply chain teams.; Inspect refrigeration equipment and identify the root cause.,Increase monitoring frequency temporarily.; Verify sensor status and check for data gaps.; Inspect packaging integrity and cold-chain environment.,Prioritize shipment dispatch immediately.,medium,Shipment Delay,False,Open,L1,Prioritize shipment dispatch immediately.; Review the transport route for delays.; Verify product quality before delivery.,SHP-711DF71A3463,CTR-FC38204C5D,2026-07-05 19:15:06,2026-07-05,19:15:06,Dairy Products,Cheese,Reefer Trailer,Kolkata,Gurugram,Sea,25.751665,82.552689,-2.01,70.08,86.22,83.09,1.428,22.05,Warning,Heatwave,DRV-C0AB4CA5,RTE-9561DB34,1853.97,68.01,393.12,2.01,0,Safe,20.08,1,Warning,77.03333333204945,Healthy,0,1,0,Critical,1,Long,27.260255844327887,4.716040903528907,Low,Long,0,0,Active,77.03333333204945,1,0.0,0,0.9526623187700496,95.27,High Risk,2,34.15,100.0,22.97,33.33,0.0,96.65,51.48,51.48,P2,High,Significant deviation from target conditions; prioritize quality checks and interventions.,High Risk,High Risk,High Risk,Low Risk,0.22,0.14,782.3940000000001,350.0,273837.9,0.14,109.53516000000003,109.53516000000003,60244.338,0.22,True,60244.337999999785,True,60244.337999999785,0.0,Low,low,Medium,Minor,High,Eligible,Eligible
Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,Continue monitoring at the scheduled interval.,low,Normal,False,Open,L1,Continue monitoring at the scheduled interval.; Ensure sensors are calibrated and securely mounted.; Record readings for traceability.,SHP-F36181710C35,CTR-48560DCB97,2026-06-28 20:55:06,2026-06-28,20:55:06,Frozen Foods,Frozen Pizza,Reefer Trailer,Ahmedabad,Varanasi,Sea,23.759922,77.177266,2.65,48.96,73.56,78.32,2.523,1.84,Active,Storm,DRV-2FEEE870,RTE-B6A36B60,2132.94,54.78,443.74,2.65,0,Safe,1.0399999999999991,0,Safe,55.93333333240111,Healthy,0,0,0,Safe,0,Long,38.93647316467805,4.806733672860669,Low,Long,0,0,Active,55.93333333240111,0,0.0,1,0.692675968085619,69.27,Low Risk,0,45.02,5.14,44.07,0.0,0.0,6.81,19.92,19.92,P4,Low,Conditions are generally within acceptable cold-chain boundaries.,Medium Risk,Low Risk,Low Risk,Low Risk,0.03,0.02,886.0440000000001,240.0,212650.56000000003,0.02,17.72088,17.72088,6379.5168,0.03,False,0.0,False,0.0,6379.5168,Low,low,Low,Major,Low,Not Eligible,Not Eligible
